ID_cliente;Nobre_cliente;Veces alojamiento;Aloj suma PAX;Aloj prom PAX;Aloj suma NOCHES;Aloj prom NOCHES;Aloj suma VALOR PAX;Aloj prom VALOR PAX2;Aloj suma VR EVENTO;Aloj prom VR EVENTO2;Veces pasadia;Pasadia sum PAX;Pasadia prom PAX;Pasadia sum NOCHES;Pasadia prom NOCHES;Pasadia sum VALOR PAX;Pasadia prom VALOR PAX2;Pasadia sum VR EVENTO;Pasadia prom VR EVENTO2;Veces sin salon;Sin salon sum PAX;Sin salon prom  PAX;Sin salon sum NOCHES;Sin salon prom  NOCHES;Sin salon sum VALOR PAX;Sin salon prom  VALOR PAX2;Sin salon sum VR EVENTO;Sin salon prom  VR EVENTO2;Total veces;Total PAX;Total prom PAX;Total noches;Prom noches;Total val PAX;Promedio valor PAX;Total hotel;Promedio hotel
9873509;Tipo_P_819;1;0;0;1;1;0;0;12435271;12435271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;12435271;12435271
9886137;Tipo_N_72;0;0;0;0;0;0;0;0;0;1;32;32;0;0;105984;105984;4958322;4958322;0;0;0;0;0;0;0;0;0;1;32;32;0;0;105984;105984;4958322;4958322
9889910;Tipo_PN_294;1;0;0;0;0;0;0;332000;332000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;332000;332000
9895439;Tipo_D_35;2;32;32;2;1;220933;220933;24899849;12449924,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;32;32;2;1;220933;220933;24899849;12449924,5
9901380;Tipo_PN_34303;1;0;0;4;4;0;0;34412990;34412990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;4;0;0;34412990;34412990
9903985;Tipo_N_70;1;0;0;1;1;0;0;5557307;5557307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5557307;5557307
9904148;Tipo_PN_34411;4;452;226;4;1;390276;195138;233222652;58305663;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;452;226;4;1;390276;195138;233222652;58305663
9905689;Tipo_P_64670;1;46;46;2;2;0;0;18996712;18996712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;46;46;2;2;0;0;18996712;18996712
9906391;Tipo_P_64340;1;0;0;3;3;0;0;16177073;16177073;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;3;0;0;16177073;16177073
9906702;Tipo_P_588;1;55;55;1;1;252767;252767;13902185;13902185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;55;55;1;1;252767;252767;13902185;13902185
9912385;Tipo_P_953;2;4;4;6;3;0;0;5497200;2748600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;6;3;0;0;5497200;2748600
9914326;Tipo_P_741;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;6753600;6753600;1;0;0;0;0;0;0;6753600;6753600
9914467;Tipo_P_64759;1;23;23;1;1;254915;254915;14365963;14365963;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;23;23;1;1;254915;254915;14365963;14365963
9916416;Tipo_P_1380;1;22;22;2;2;196680;196680;9580120;9580120;0;0;0;0;0;0;0;0;0;1;0;0;2;2;0;0;19665190;19665190;2;22;22;4;2;196680;196680;29245310;14622655
9928126;Tipo_P_663;1;183;183;1;1;151922;151922;45509326;45509326;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;183;183;1;1;151922;151922;45509326;45509326
9929787;Tipo_P_2977;1;0;0;0;0;0;0;1386000;1386000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1386000;1386000
9937526;Tipo_P_147;5;48;48;10;2;0;0;55233828;11046765,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;48;48;10;2;0;0;55233828;11046765,6
9946133;Tipo_P_1362;1;70;70;2;2;220606;220606;36502240;36502240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;70;70;2;2;220606;220606;36502240;36502240
9948145;Tipo_P_1597;1;27;27;1;1;217450;217450;7817350;7817350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;27;27;1;1;217450;217450;7817350;7817350
9952681;Tipo_N_12;1;0;0;0;0;0;0;6695828;6695828;4;149;37,25;0;0;422850;140950;23350079;5837519,75;0;0;0;0;0;0;0;0;0;5;149;37,25;0;0;422850;140950;30045907;6009181,4
9954522;Tipo_P_64941;1;0;0;2;2;0;0;78384000;78384000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;2;0;0;78384000;78384000
9966813;Tipo_P_64640;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;15822492;15822492;1;0;0;1;1;0;0;15822492;15822492
9969157;Tipo_PN_34242;1;85;85;1;1;196413;196413;19876605;19876605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;85;85;1;1;196413;196413;19876605;19876605
9982523;Tipo_P_64585;1;78;78;1;1;281621;281621;32594198;32594198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;78;78;1;1;281621;281621;32594198;32594198
9982894;Tipo_P_590;2;299;149,5;6;3;371607;185803,5;225322812;112661406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;299;149,5;6;3;371607;185803,5;225322812;112661406
9983032;Tipo_P_958;1;19;19;1;1;215150;215150;5387850;5387850;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;19;19;1;1;215150;215150;5387850;5387850
9985248;Tipo_P_64858;1;13;13;1;1;340285;340285;4721605;4721605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13;13;1;1;340285;340285;4721605;4721605
9986814;Tipo_P_647;1;30;30;3;3;289200;289200;26028000;26028000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;30;30;3;3;289200;289200;26028000;26028000
9992298;Tipo_P_64424;1;0;0;1;1;0;0;11370210;11370210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;11370210;11370210
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
