ID_Cliente;Nombre_cliente;CEF;CLUB 200;CLUB CAMPESTRE;CSDE;CUR;F;FUERA DE SEDE;SEDE 95;VIRTUAL;ASAMBLEAS;CAPACITACIONES;CONGRESOS;CONVENCIONES;CULTURALES;FERIAS;FIESTAS Y CELEBRACIONES;LANZAMIENTOS;OTRO;RECREATIVOS;REUNIONES;SEMINARIOS;SOCIALES;Total Eventos
9163373;Tipo_P_470;0;1344000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1344000;0;0;1344000
9164296;Tipo_P_1829;0;0;0;1288560;0;0;0;607880;0;0;607880;0;0;0;0;0;0;0;0;1288560;0;0;1896440
9164297;Tipo_PN_34404;0;0;476638,4;0;0;0;0;0;0;0;476638,4;0;0;0;0;0;0;0;0;0;0;0;476638,4
9166614;Tipo_P_3225;0;0;0;0;0;0;148170;0;0;0;0;0;0;0;0;0;0;0;0;148170;0;0;148170
9168861;Tipo_D_28;0;0;0;0;0;0;55433418;0;0;0;0;0;0;0;0;26455350;0;0;15567952;13410116;0;0;55433418
9169096;Tipo_PN_34216;0;0;0;0;0;0;0;960000;0;0;0;0;0;0;0;960000;0;0;0;0;0;0;960000
9169376;Tipo_P_1138;0;0;0;0;0;0;1054515;0;0;0;0;0;0;0;0;0;0;0;0;1054515;0;0;1054515
9169391;Tipo_P_64774;0;0;0;0;0;0;205994;0;0;0;0;0;0;0;0;0;0;0;0;205994;0;0;205994
9170002;Tipo_P_1965;0;0;0;0;0;0;0;1094790;0;0;0;0;0;0;0;1094790;0;0;0;0;0;0;1094790
9170954;Tipo_P_631;0;0;0;18417202;0;0;0;0;0;0;0;0;0;0;0;0;18417202;0;0;0;0;0;18417202
9171289;Tipo_P_1343;15066602;0;0;3994069;0;0;0;0;0;0;0;0;0;0;17899963;0;0;0;0;1160708;0;0;19060671
9172044;Tipo_N_42;0;0;0;1983200;0;0;242548521;0;0;0;13173368;0;0;1796470;3520440;42341971;0;0;21156234;162543238;0;0;244531721
9173225;Tipo_P_2202;0;0;0;0;0;0;388300;0;0;0;0;0;0;0;0;0;0;0;0;388300;0;0;388300
9173316;Tipo_P_1503;0;0;0;3872304;0;0;7135554;0;0;0;0;0;0;0;0;3872304;0;0;6952828;182726;0;0;11007858
9173373;Tipo_P_1647;0;2029456;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2029456;0;0;0;2029456
9173667;Tipo_P_2078;0;0;0;937200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;937200;0;0;937200
9173990;Tipo_P_1094;0;0;0;0;0;0;653453;0;0;0;0;0;0;0;0;0;0;0;653453;0;0;0;653453
9174640;Tipo_P_2299;0;0;0;0;0;0;0;180423,36;0;0;0;0;0;0;0;0;0;0;0;180423,36;0;0;180423,36
9175697;Tipo_P_64761;0;0;0;0;0;0;540000;0;0;0;0;0;0;540000;0;0;0;0;0;0;0;0;540000
9179446;Tipo_P_1702;0;0;0;0;0;0;0;2429035;0;0;0;0;0;0;0;0;0;0;0;2429035;0;0;2429035
9179625;Tipo_PN_34141;0;0;0;0;0;0;0;2414851;0;0;0;0;0;0;0;2414851;0;0;0;0;0;0;2414851
9179976;Tipo_PN_34048;0;0;0;989799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;175250;0;814549;989799
9180201;Tipo_P_64636;0;0;0;27113162;0;0;0;0;0;0;0;0;0;0;0;27113162;0;0;0;0;0;0;27113162
9180883;Tipo_P_970;0;0;1165055;0;0;0;419328;0;0;0;0;0;0;0;0;0;0;0;1165055;419328;0;0;1584383
9181036;Tipo_PN_34143;0;0;0;16001061;0;0;0;0;0;0;0;0;0;0;16001061;0;0;0;0;0;0;0;16001061
9181655;Tipo_P_1341;0;0;0;0;0;0;0;72767645;0;0;79485216;0;0;0;0;0;371303;0;0;-7088874;0;0;72767645
9182339;Tipo_P_374;0;0;0;0;0;0;3481960;0;0;0;0;0;0;0;0;0;0;0;0;3481960;0;0;3481960
9184611;Tipo_P_58;0;0;0;691489;0;0;28972837;0;0;0;0;0;0;0;0;11081651;0;0;15972390;2610285;0;0;29664326
9185761;Tipo_P_246;0;2605538;0;0;0;0;506000;0;886380;0;533000;0;0;0;0;0;0;0;1392380;2072538;0;0;3997918
9186390;Tipo_P_64374;0;0;0;0;0;0;-3101600;0;0;0;0;0;0;0;0;0;0;0;0;-3101600;0;0;-3101600
9186554;Tipo_P_2881;0;0;0;0;0;0;2152076;0;0;0;0;0;0;0;0;0;0;0;2152076;0;0;0;2152076
9186729;Tipo_P_1680;0;0;0;0;0;0;2180445;0;0;0;0;0;0;0;0;0;0;0;2180445;0;0;0;2180445
9187850;Tipo_P_1119;0;0;0;291200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;291200;0;0;291200
9187883;Tipo_P_74;0;0;0;0;0;0;17361783;0;0;0;0;0;0;0;0;16818324;0;0;543459;0;0;0;17361783
9188050;Tipo_P_245;0;2721157;0;933299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3654456;0;0;3654456
9188566;Tipo_P_1937;0;684230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;684230;0;0;0;684230
9188792;Tipo_P_64432;0;0;0;0;0;0;56981850;0;0;0;0;0;0;0;0;56981850;0;0;0;0;0;0;56981850
9189542;Tipo_P_1743;0;0;0;2045227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2045227;2045227
9189683;Tipo_P_64719;0;0;0;264960;0;0;0;0;0;0;0;0;0;264960;0;0;0;0;0;0;0;0;264960
9189758;Tipo_P_420;0;0;0;291200;0;0;7542226;0;0;0;0;0;0;0;0;0;0;0;1609886;6223540;0;0;7833426
9190265;Tipo_P_1184;0;0;0;0;0;0;252945;0;0;0;0;0;0;0;0;0;0;0;0;252945;0;0;252945
9190937;Tipo_P_2042;0;0;0;731932;0;0;0;0;0;0;731932;0;0;0;0;0;0;0;0;0;0;0;731932
9191272;Tipo_P_962;0;0;0;268224;0;0;0;0;0;0;0;0;0;0;0;268224;0;0;0;0;0;0;268224
9192130;Tipo_P_2249;0;0;0;0;0;0;0;540000;0;0;0;0;0;0;0;0;0;0;0;540000;0;0;540000
9192320;Tipo_P_2835;0;0;0;3028992;0;0;0;0;0;0;0;0;0;0;0;3028992;0;0;0;0;0;0;3028992
9192671;Tipo_P_732;0;0;0;1067839;0;0;1269523;3974818;1709400;0;1094790;0;0;0;0;0;0;0;2957900;3968890;0;0;8021580
9192729;Tipo_P_64910;0;0;219600;0;0;0;0;0;0;0;219600;0;0;0;0;0;0;0;0;0;0;0;219600
9193223;Tipo_P_1975;0;0;461345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;461345;0;0;461345
